gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day,hit_anyday
Gene19,-0.16195159,-0.2821847,-0.43924075,-0.72315127,0.019884447,0.030791372,0.042178344,0.054286133,-0.164068121108968,2.22044604925031e-16,-0.284052468251655,0,-0.43519608228251,0,-0.695055214613879,0,0,1,TRUE
Gene2,-0.15786822,-0.1410183,-0.33009088,-0.38002515,0.025270568,0.03926163,0.05409612,0.065504506,-0.161132671187206,5.0607407153791e-11,-0.15022788181142,3.90932620273343e-05,-0.30734212309471,2.89966495259364e-10,-0.336595093834197,3.0925858540698e-09,5.0607407153791e-11,0,TRUE
Gene20,-0.0061472273,0.01291714,-0.04278731,6.319182e-06,0.020808185,0.032901004,0.0420102,0.055300657,-0.000593139401645126,0.937427552502055,-8.44331452114681e-05,0.970934222883246,-0.000739886861231373,0.964589741628287,-0.000259098361022026,0.936966672770757,0.936966672770757,3,FALSE
Gene21,0.06370235,0.19463517,0.39179116,0.36102572,0.020614725,0.030698495,0.041890673,0.050886925,0.0680849608368203,0.000477597073878418,0.19623152090458,4.01641184666066e-11,0.374345274929399,5.9208245642636e-21,0.341199439338514,5.33944711170646e-13,5.9208245642636e-21,2,TRUE
Gene22,-0.029086666,-0.13245201,-0.081221625,-0.26563638,0.023156587,0.035407774,0.056075566,0.086612284,-0.0338256260283708,0.0735966161239119,-0.126979930435997,0.00203079358773139,-0.0854413190016153,0.0447138743607232,-0.191726107633743,0.00265500703925947,0.00203079358773139,1,TRUE
Gene23,-0.07264076,-0.0020812543,0.033844158,0.04141277,0.02052424,0.031075029,0.041770298,0.055082217,-0.0637217528733942,0.0454637018562902,-0.00102473967573418,0.863041812464127,0.0058084966100387,0.825562093171353,0.00649087793979544,0.829823449179046,0.0454637018562902,0,TRUE
Gene24,0.22192912,0.29835308,0.6143456,0.48617324,0.021979798,0.030674579,0.043637715,0.06014534,0.224407904801935,6.45526878629266e-25,0.30043686190744,2.44634200863968e-23,0.597462095538635,3.47721427050614e-45,0.471411074342349,1.18980211432584e-16,3.47721427050614e-45,2,TRUE
Gene25,0.019930363,0.048335377,0.04126899,0.024086166,0.023689143,0.03366949,0.046105854,0.06387267,0.00648068322486648,0.771673314623957,0.00684235561948356,0.812033702114229,0.00644970933215195,0.817702193106946,0.00713745570428388,0.784755959249851,0.771673314623957,0,FALSE
Gene26,-0.10829736,0.018950587,0.0011958925,-0.011082826,0.021982081,0.035736907,0.047289446,0.06627397,-0.0998718257949116,0.000207662295690692,0.00414969862019049,0.784745403686808,-0.00163253768041913,0.817886865730877,-0.00548139229237885,0.794172297929186,0.000207662295690692,0,TRUE
Gene27,-0.13586846,-0.2910295,-0.19186899,-0.13012022,0.019364767,0.028353518,0.035858717,0.04404015,-0.13723243112719,3.55604434787438e-13,-0.28178717450449,1.11022302462516e-16,-0.189498078612868,1.56981249110899e-08,-0.137061790310288,0.000456226163697449,1.11022302462516e-16,1,TRUE
Gene28,-0.027180083,-0.15298523,-0.18542656,-0.036908492,0.022018762,0.032580197,0.041924756,0.05051557,-0.030444676857751,0.0800653237241112,-0.146537614565091,1.50536751741814e-06,-0.170371404606812,7.13646676309132e-06,-0.0485046034880865,0.146446922961299,1.50536751741814e-06,1,TRUE
Gene29,0.15769544,0.15409371,0.17641065,0.16537069,0.021903278,0.033572473,0.043832276,0.07687072,0.157417369224857,3.900030809869e-14,0.156285270019271,2.73785611085628e-07,0.161578613967743,3.9105345215122e-06,0.157751038216791,0.00179699936628969,3.900030809869e-14,0,TRUE
Gene3,-0.11699506,-0.25389564,-0.23496799,-0.4458015,0.020605952,0.031190617,0.041105747,0.05492775,-0.120727112289299,1.9878027002207e-09,-0.25222892509139,1.11022302462516e-16,-0.234457309679317,1.48715462167104e-09,-0.405419937166939,5.55111512312578e-16,1.11022302462516e-16,1,TRUE
Gene30,-0.043170687,-0.005061655,0.022783523,-0.14824145,0.022332959,0.032687027,0.043066937,0.06638711,-0.0141846345649444,0.646009058967625,-0.00375338677800155,0.818275506944682,2.81346861285901e-05,0.859254950346287,-0.0625798424485866,0.458698063064065,0.458698063064065,3,FALSE
Gene31,0.08667037,0.2828214,0.45397878,0.77427053,0.022854228,0.033757392,0.045278806,0.059278455,0.0903327833053464,3.54798998518418e-05,0.284828747862498,7.02125275519515e-18,0.448534643313469,2.44351221343793e-24,0.737555145118417,3.22046530506126e-38,3.22046530506126e-38,3,TRUE
Gene32,0.030918878,0.06021589,-0.003977883,-0.18038848,0.028868997,0.040342245,0.05326349,0.06940051,0.00713826746162876,0.776280789860282,0.0113243455482364,0.78612410500119,-0.00102773723960724,0.87429420104727,-0.107868924358382,0.291400793502413,0.291400793502413,3,FALSE
Gene33,-0.12190001,-0.23584244,-0.35687494,-0.32090673,0.023063157,0.032687888,0.04366942,0.058428608,-0.126851193254707,1.42653304724405e-08,-0.235233161613044,6.06181771445336e-14,-0.338215155788804,2.22044604925031e-16,-0.299659265472841,7.18000425781185e-09,2.22044604925031e-16,2,TRUE
Gene34,-0.132784,-0.15203613,-0.17791744,-0.08030181,0.037097596,0.0562773,0.07450295,0.10673222,-0.132895274531929,8.72102336709757e-05,-0.140287907317153,0.00155514045156613,-0.147566428749575,0.00360889865895453,-0.117328651459969,0.0517833986544961,8.72102336709757e-05,0,TRUE
Gene35,0.009664565,-0.008562487,0.13286428,0.06203873,0.024103394,0.036230393,0.047574077,0.065752715,0.00599531033949054,0.679224263953476,0.000941550738325219,0.775015000154539,0.0411977538020322,0.595161721731168,0.0245325089939954,0.596306571135827,0.595161721731168,2,FALSE
Gene36,-0.003908845,-0.018340617,-0.083001964,-0.36337,0.029722992,0.043200955,0.05484563,0.07193217,-0.00116582523761901,0.924630597303753,-0.0033144875544806,0.910464815542662,-0.0100789731052267,0.886364519086211,-0.325769368883821,9.48161885794274e-05,9.48161885794274e-05,3,TRUE
Gene37,-0.012054238,-0.03389324,0.009351442,-0.092982456,0.02440356,0.037548345,0.050600808,0.07201035,-0.0021830639687749,0.887606378220329,-0.00240905236265553,0.917876737699652,-0.00107687877569047,0.93089958456113,-0.0159900375184229,0.786437009275117,0.786437009275117,3,FALSE
Gene38,0.13940258,0.2793367,0.21766731,0.22734728,0.025486052,0.03779757,0.051079363,0.064081125,0.143896456424142,5.19591611689003e-09,0.266318645790822,3.86509942422918e-14,0.211934749006532,2.74672213262377e-06,0.216621968974075,5.30324525397562e-05,3.86509942422918e-14,1,TRUE
Gene39,-0.08629519,-0.26262507,-0.23585922,-0.52412874,0.03018498,0.046195954,0.059820674,0.09135149,-0.0942441571010404,0.000849250790786793,-0.258100034835303,2.57761101352116e-09,-0.23396816461961,1.39726056136436e-05,-0.425856940532057,2.42079396528538e-08,2.57761101352116e-09,1,TRUE
Gene4,-0.17791733,-0.32702732,-0.11305275,0.07053743,0.01887471,0.029875476,0.04071464,0.056539536,-0.176791929527563,0,-0.315433284051186,0,-0.115098295248668,0.00166641975463033,0.0342457751482071,0.272092882159447,0,0,TRUE
Gene40,0.09537559,0.16620575,0.103636436,0.32526013,0.027513195,0.04010817,0.050647214,0.07159671,0.100601012588296,0.000108032168115958,0.161632377358968,8.4461961735492e-06,0.113231804947317,0.00766928261620097,0.258471499583033,6.41159503052092e-06,6.41159503052092e-06,3,TRUE
Gene41,0.14628164,0.22831215,0.19762467,0.11770007,0.028933674,0.042939108,0.0573479,0.09530641,0.153461585626382,5.62023940676479e-08,0.202839933961694,2.49309385989523e-08,0.18205400820417,9.08972669633363e-05,0.146509222909766,0.0220376813278838,2.49309385989523e-08,1,TRUE
Gene42,0.18955341,0.21612662,0.25424033,0.29803538,0.03712779,0.055963118,0.071487874,0.083425775,0.197277026782277,2.27910014395385e-08,0.212035857202765,8.24196378044172e-06,0.228158968752794,3.28277180325394e-05,0.243128275879493,4.12202998211162e-05,2.27910014395385e-08,0,TRUE
Gene43,-0.17736205,-0.1167126,0.05342056,-0.17901418,0.03918507,0.05762958,0.074596755,0.09775893,-0.163702688672877,6.44353832646161e-05,-0.111289888028173,0.0233000656783838,-0.00622946114731948,0.475917503149978,-0.137312358934589,0.0387370217842241,6.44353832646161e-05,0,TRUE
Gene44,0.06491014,0.09014909,0.12567295,0.081546806,0.023683928,0.034664918,0.047548033,0.060149193,0.074443831246498,0.00119958244815965,0.0828030703385298,0.0022689154155038,0.0927456336894054,0.00234778298811092,0.0800497268056937,0.0228650898008033,0.00119958244815965,0,TRUE
Gene45,0.21560125,0.39024487,0.25500888,0.108118415,0.039115097,0.057576086,0.08009848,0.095630586,0.217163232334419,4.3104477951484e-09,0.350026104668742,8.46710533097684e-12,0.243731762439002,0.00018736931420866,0.159726255323347,0.0245233873982879,8.46710533097684e-12,1,TRUE
Gene46,0.09235416,0.08340396,0.19251387,0.15835293,0.03030016,0.045949496,0.059300434,0.09742857,0.0980532148218644,0.000548620932006976,0.0945134118705042,0.0126508168745304,0.147700300645156,0.000832264717464555,0.124844402155116,0.021971253232435,0.000548620932006976,0,TRUE
Gene47,-0.009557126,0.042444937,0.022092521,0.18371719,0.02688175,0.040235933,0.05242092,0.06705866,-0.000411505679518803,0.901697762886663,0.0068606853537703,0.851889672891428,0.00459854059152126,0.874243416586395,0.122087635794527,0.235825205740865,0.235825205740865,3,FALSE
Gene48,0.011188794,0.021670016,0.1347344,-0.009938223,0.0263323,0.037291855,0.05143791,0.06669337,0.00603662632397491,0.723363882004526,0.00813765969594631,0.738901366682404,0.0292781063141521,0.6805110197206,0.00322345798949851,0.766015000406763,0.6805110197206,2,FALSE
Gene49,0.051435534,0.10346793,0.041051984,0.06814625,0.025292488,0.04095052,0.052725945,0.067752965,0.0536107860387051,0.070515333775076,0.0697139163911545,0.0881593713074602,0.050094153290386,0.150852368129808,0.0581940092888618,0.128581775867988,0.070515333775076,0,FALSE
Gene5,0.08179175,0.17804751,0.18343213,0.26164034,0.02200562,0.03283355,0.044195395,0.064536445,0.0859410322152569,4.03529300910777e-05,0.174827027534944,1.31626985909088e-08,0.177573740241354,7.44533723024749e-06,0.227562875349338,2.13073263833697e-05,1.31626985909088e-08,1,TRUE
Gene50,0.078749515,0.026399795,-0.1253686,0.0053917463,0.022623088,0.034782015,0.05029146,0.06357701,0.0727377303942588,0.0143626806362137,0.0189693077561446,0.387622578839441,-0.0784036681943386,0.215167588745039,0.00352960481013981,0.570808752522154,0.0143626806362137,0,TRUE
Gene51,-0.119728506,-0.26934275,-0.22032195,-0.37291762,0.026741536,0.041089546,0.055399455,0.08555694,-0.125557300622497,9.36279553220842e-07,-0.260638316448681,1.0444867193371e-11,-0.21748054788257,8.8530707992307e-06,-0.307171636515265,5.22816889247935e-06,1.0444867193371e-11,1,TRUE
Gene52,-0.050519764,0.0019971037,-0.007742152,0.039960373,0.024991695,0.037135337,0.04905368,0.06472821,-0.0152728262057304,0.646752891017294,-0.00150619535497724,0.905610492732976,-0.00210978469561566,0.900111752321558,0.0024390253293753,0.90073935297645,0.646752891017294,0,FALSE
Gene53,0.22475447,0.23953797,0.299183,0.25134093,0.027376546,0.0381391,0.052413274,0.06648874,0.23024724369743,9.72951069140381e-18,0.23728455998915,1.55408233217527e-11,0.261829775319261,7.98729273794332e-10,0.240542946077884,6.98063815556345e-06,9.72951069140381e-18,0,TRUE
Gene54,0.03689509,0.06937333,0.29313207,0.42090166,0.024152074,0.035820708,0.048864245,0.07027747,0.0414248636953409,0.0423706857072312,0.0764831301914481,0.0149349345073694,0.277947637737155,5.59925831925539e-08,0.366522772811202,6.044702326446e-09,6.044702326446e-09,3,TRUE
Gene55,-0.09237916,-0.10941769,0.09427476,0.6619424,0.028599098,0.04470111,0.07421917,0.10897534,-0.0862341723874719,0.023476119833219,-0.0964794078236271,0.0344598064298325,0.0918930627741691,0.110804597537016,0.521898660225158,7.44961717924534e-07,7.44961717924534e-07,3,TRUE
Gene56,0.09895399,0.0057779844,-0.11678505,-0.28941193,0.024730835,0.038438275,0.050970167,0.075415805,0.0919238430553411,0.00150415455226148,1.9994233860376e-05,0.501122265825024,-0.10538576839362,0.0160637896950993,-0.218774604176922,0.00206897378444582,0.00150415455226148,0,TRUE
Gene57,0.32634833,0.60316986,0.682307,0.74844027,0.028307438,0.04347942,0.05633202,0.07719903,0.330885380592503,2.61106509120692e-32,0.599350160502941,3.74081905674864e-45,0.669597064864219,6.10066799741605e-35,0.716816023112291,3.36861292698325e-23,3.74081905674864e-45,1,TRUE
Gene58,-0.097847104,-0.027830854,0.0682574,-0.031785358,0.029944405,0.045819484,0.06147681,0.07850895,-0.0795491394533084,0.0652203275246437,-0.0163466927339024,0.582326954272307,0.0168878497375553,0.623002910974998,-0.0173652896354284,0.609910864168573,0.0652203275246437,0,FALSE
Gene59,0.017855426,0.04382735,-0.0863929,-0.2013653,0.023951614,0.039304927,0.051441275,0.072820835,0.00469808652207825,0.760436984753506,0.009967541786201,0.747955972450393,-0.0235526224321505,0.703425264245678,-0.136708221339451,0.186628791573121,0.186628791573121,3,FALSE
Gene6,0.035392743,-0.10571944,-0.41227275,-0.35917267,0.023622753,0.038091186,0.054590095,0.071289584,0.030807371175025,0.0963047255939974,-0.109430224765142,0.00173723728293895,-0.387853625054475,7.31859017832903e-13,-0.329722532924182,3.68938288142218e-07,7.31859017832903e-13,2,TRUE
Gene60,0.05254618,-0.108408704,0.04423787,0.3628689,0.024669157,0.0374652,0.049936377,0.07671621,0.0484610082415391,0.0974841411210763,-0.0862693059173404,0.0887979349193915,0.0427460902711115,0.23161769676575,0.288008417947436,8.28854716459071e-05,8.28854716459071e-05,3,TRUE
Gene7,0.032648895,0.0014323742,-0.25820282,-0.32309997,0.019899374,0.029045466,0.03955114,0.055595502,0.0292495547574476,0.0701680149729029,-0.00406072061390896,0.443261207618417,-0.246096364695326,3.11985473011589e-08,-0.291906656174191,1.45189524847211e-08,1.45189524847211e-08,3,TRUE
Gene8,-0.026963016,0.19475488,0.51893413,0.69058466,0.019382877,0.03000718,0.042375837,0.052648216,-0.0236968857607228,0.109870019982252,0.197238488277486,1.64097706774109e-11,0.508855429049669,1.10358470031666e-34,0.663512749596499,1.08338832532638e-38,1.08338832532638e-38,3,TRUE
Gene9,-0.033073094,-0.024626685,-0.084516175,-0.21838176,0.021604378,0.034443587,0.044149123,0.05501047,-0.0233089070034632,0.381894274574949,-0.0203837744424171,0.462144620346468,-0.0529638905583671,0.365390477631559,-0.187152737920201,0.00334220835550403,0.00334220835550403,3,TRUE
