guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g76,Gene16,0.2562363,0.23561071,0.19613929,0.2804254,0.12802619,0.14932021,0.16064207,0.18094262
g77,Gene17,-0.031505905,-0.03426174,-0.09678534,-0.14676651,0.112719685,0.13428849,0.14837086,0.17760833
g78,Gene18,0.03962462,0.048995458,0.092810825,0.17691246,0.1206818,0.13687856,0.1577819,0.18595377
g79,Gene19,0.17958854,0.26068383,0.293176,0.2973605,0.12075719,0.14207396,0.16174296,0.18251623
g8,Gene8,-0.31542483,-0.29017937,-0.22869891,-0.08094133,0.11887865,0.14135484,0.16159692,0.17865072
g80,Gene20,-0.26596895,-0.2274707,-0.24793603,-0.20055966,0.121034205,0.13913023,0.15344763,0.17609303
g81,Gene21,-0.15560298,-0.1622544,-0.1376646,-0.12288547,0.1229814,0.14752038,0.15795736,0.17373493
g82,Gene22,-0.15993057,-0.15464516,-0.12767094,-0.22018963,0.12985656,0.14022449,0.15741491,0.18427593
g83,Gene23,-0.13239336,-0.13681094,-0.15856236,-0.09913966,0.12418817,0.14006431,0.15777177,0.17919493
g84,Gene24,-0.3681864,-0.44665715,-0.43974116,-0.39606914,0.11713177,0.13866632,0.15655813,0.1735303
g85,Gene25,-0.07577218,-0.07010817,-0.06802983,-0.11103344,0.118993625,0.13951458,0.16124561,0.17615598
g86,Gene26,-0.18450528,-0.08526039,-0.028731782,-0.061207585,0.12677798,0.14927024,0.17234752,0.19401349
g87,Gene27,-0.13266037,-0.040731657,-0.059498757,-0.051021475,0.13525638,0.15190731,0.16236678,0.18063152
g88,Gene28,-0.009664425,0.11912418,0.18942575,0.14980325,0.1260034,0.13910347,0.15003903,0.17284767
g89,Gene29,-0.058974966,-0.039630402,-0.03983735,-0.084481366,0.11562875,0.13025439,0.1407091,0.16277698
g9,Gene9,-0.016504182,0.01824122,-0.023295768,-0.00024320841,0.13017246,0.14516525,0.17042233,0.20172006
g90,Gene30,-0.22031702,-0.2563229,-0.25491554,-0.27588037,0.118358396,0.13052016,0.15187645,0.17594203
