gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,true_betahat_d0,error_d0,true_betahat_d1,error_d1,true_betahat_d2,error_d2,true_betahat_d3,error_d3
Gene27,0.12766019,0.217935,0.29396188,0.39153844,0.09347652,0.11636692,0.14371112,0.17340195,0.26434556,-0.13668537,0.38403177,-0.16609678,0.53460515,-0.24064326,0.7169409,-0.32540244
Gene28,0.135516,0.21248227,0.24777506,0.287517,0.08507562,0.114417225,0.1403657,0.16124052,0.028492074,0.107023925,0.053606406,0.15887587,0.10797466,0.1398004,0.22046205,0.06705496
Gene29,0.022968223,0.0610997,0.13226427,0.20337695,0.08680622,0.11102411,0.14036027,0.16801599,-0.17109334,0.19406156,-0.19017002,0.25126973,0.14273134,-0.010467067,0.40608913,-0.20271218
Gene30,0.07434612,0.06878079,0.0069173956,-0.06488719,0.07828854,0.110787004,0.13400565,0.1619839,0.18366753,-0.10932141,0.18561934,-0.11683855,0.17137276,-0.16445535,-0.007797718,-0.05708947
Gene31,0.012816592,-0.0054656584,-0.03338064,-0.10634362,0.09143324,0.12564076,0.15619947,0.1895299,0.09041069,-0.077594094,0.06789803,-0.073363684,0.2232408,-0.25662142,0.08081169,-0.1871553
Gene32,-0.020606592,-0.04011483,-0.04800388,-0.019843452,0.08622698,0.116947964,0.14341453,0.1707368,-0.017344788,-0.0032618046,-0.055137064,0.015022233,-0.06556874,0.01756486,0.16936056,-0.189204
Gene33,0.20986201,0.37904608,0.52989656,0.6238489,0.08869577,0.12684785,0.14536263,0.17052837,0.31225038,-0.10238837,0.57738316,-0.19833708,0.6075386,-0.07764202,0.8382871,-0.2144382
Gene34,0.0657163,0.06516512,0.07604312,0.06639819,0.08791787,0.1197693,0.14264856,0.16712026,0.22502422,-0.15930793,0.1256082,-0.06044309,0.27502367,-0.19898054,0.29162654,-0.22522835
Gene35,-0.022349428,-0.10932564,-0.27263933,-0.45076004,0.095107734,0.116250806,0.14244986,0.16742475,0.10028637,-0.1226358,-0.02221772,-0.08710792,-0.3129421,0.040302753,-0.6149602,0.16420016
Gene36,0.101439916,0.13676608,0.15775752,0.15456556,0.08163663,0.1089277,0.13037603,0.17231292,0.18332732,-0.0818874,0.19118321,-0.054417133,0.17065582,-0.012898296,0.2234537,-0.06888814
Gene37,0.06823034,0.09348611,0.018651431,-0.08005667,0.07817543,0.10409015,0.13076836,0.15774003,0.19914909,-0.13091874,0.40546864,-0.31198254,0.07803406,-0.059382625,-0.048935592,-0.031121075
Gene38,0.045298323,0.0078268135,-0.04771435,-0.121121034,0.08377837,0.11338313,0.14351673,0.16063505,0.37415856,-0.32886022,0.25024724,-0.24242042,0.2849669,-0.33268124,0.12964739,-0.25076842
Gene39,-0.17258856,-0.3118984,-0.42913178,-0.49016234,0.095114276,0.113878876,0.142388,0.1666482,-0.4968442,0.32425565,-0.5842106,0.27231216,-0.6179615,0.18882975,-0.6203127,0.13015035
Gene40,0.06818311,0.052761354,0.03536315,0.05265148,0.08811594,0.113981165,0.1423663,0.1739377,0.38405883,-0.3158757,0.17401999,-0.12125864,0.26476675,-0.2294036,0.34908953,-0.29643804
Gene41,0.15334305,0.2995864,0.3915112,0.44796538,0.08862437,0.12548095,0.15792294,0.17121176,0.293661,-0.14031795,0.60174704,-0.30216065,0.6587688,-0.26725757,0.6984141,-0.2504487
Gene42,-0.012074722,-0.08029791,-0.21726832,-0.2694881,0.08720816,0.114998646,0.14478546,0.17041007,-0.0755487,0.06347398,-0.05193196,-0.028365951,-0.3562317,0.13896337,-0.30762935,0.03814125
Gene43,0.019867554,0.054732665,0.10873697,0.14876875,0.09393566,0.11823416,0.13885438,0.16970389,-0.23851623,0.25838378,-0.17691924,0.2316519,0.06292884,0.04580813,0.15571539,-0.006946638
Gene44,-0.008495453,-0.027143978,0.0011641552,0.031145511,0.08559889,0.113662064,0.14857627,0.16539694,-0.079216555,0.070721105,-0.077507205,0.050363228,0.10158476,-0.10042061,0.13103358,-0.09988807
Gene45,-0.0649838,-0.11494977,-0.17750159,-0.25755468,0.07830746,0.105862066,0.12574051,0.15146875,-0.13003185,0.065048054,-0.2553343,0.14038453,-0.12694886,-0.050552726,-0.27053243,0.012977749
Gene46,0.056811657,0.074961945,-0.004671931,-0.051148895,0.08818511,0.1125065,0.1437743,0.17072085,0.113294385,-0.05648273,0.10686201,-0.031900063,-0.0727397,0.06806777,0.017369509,-0.0685184
Gene47,0.093469344,0.20114982,0.3127463,0.4065589,0.08626513,0.12588097,0.14223446,0.16964489,-0.07277275,0.1662421,0.2979611,-0.096811265,0.4436931,-0.13094682,0.48483348,-0.07827458
Gene48,0.04937793,0.05077669,0.03822456,0.028413748,0.08359743,0.11495103,0.1344676,0.15831703,0.09338467,-0.04400674,0.08832723,-0.03755054,0.12368879,-0.085464224,0.18292548,-0.15451173
Gene49,0.13271774,0.18720788,0.24852458,0.24904996,0.08701892,0.11639,0.14620711,0.16575037,0.34083667,-0.20811893,0.28358608,-0.09637821,0.22604191,0.022482663,0.1284028,0.12064716
Gene50,-0.18097024,-0.31182954,-0.42573124,-0.45789778,0.087928,0.12683159,0.1534478,0.17778222,-0.33966362,0.15869339,-0.3355752,0.023745656,-0.28689122,-0.13884002,-0.21270536,-0.24519242
Gene51,0.119818516,0.17715289,0.22141246,0.26443872,0.08482572,0.11541729,0.13484941,0.16169883,0.31197715,-0.19215864,0.12663688,0.05051601,0.4573291,-0.23591663,0.5139528,-0.24951407
Gene52,0.08753747,0.1468111,0.13700637,0.083107464,0.07656221,0.09596495,0.11622607,0.1494996,0.09972875,-0.012191281,0.33216998,-0.18535888,0.502327,-0.36532065,0.22578546,-0.142678
Gene53,0.027667923,0.024992434,-0.05710363,-0.15577024,0.08141726,0.12258938,0.15190792,0.16672888,0.011211703,0.01645622,0.25531313,-0.23032069,0.009529078,-0.06663271,-0.23788585,0.082115605
Gene54,-0.07148853,-0.0836595,-0.10968262,-0.088336885,0.08771098,0.11115514,0.14897805,0.18574555,-0.1100614,0.03857287,0.054502167,-0.13816166,0.089563705,-0.19924632,0.2103,-0.29863688
Gene55,0.013391465,0.025470875,-0.07015604,-0.18330406,0.08815175,0.12024108,0.13728742,0.16108423,-0.25582266,0.26921412,0.050677836,-0.02520696,-0.20694369,0.13678765,-0.37468877,0.19138472
Gene56,0.087248065,0.14396878,0.15728085,0.15410894,0.08744589,0.112755,0.14043356,0.17329107,-0.030259298,0.11750736,0.07258931,0.07137947,0.15559366,0.001687184,0.123658255,0.030450687
Gene57,0.0015394449,-0.01839595,-0.0925825,-0.095999606,0.08614627,0.11737633,0.14233962,0.1738019,0.023550251,-0.022010807,-0.0274186,0.009022651,-0.12974003,0.037157528,0.081949346,-0.17794895
Gene58,-0.13814883,-0.23542859,-0.30638713,-0.31198847,0.09427702,0.11916852,0.15123709,0.1722112,0.02819639,-0.16634522,-0.16984749,-0.0655811,-0.14843774,-0.15794939,0.092079595,-0.40406805
Gene59,0.15627396,0.25354007,0.35719505,0.4014093,0.08551531,0.11952888,0.14868581,0.17969862,0.3317985,-0.17552453,0.28376368,-0.030223608,0.5144065,-0.15721145,0.5060919,-0.104682595
Gene60,-0.017973708,-0.03382077,-0.056449,-0.09743593,0.08583128,0.10636961,0.12934826,0.15731081,-0.031247983,0.013274275,-0.17530376,0.14148298,-0.0131098125,-0.043339185,-0.06048871,-0.03694722
Gene61,-0.09223794,-0.17439426,-0.23422277,-0.25147387,0.09931966,0.11852761,0.13156904,0.16624138,-0.35162616,0.2593882,-0.24107178,0.06667751,-0.13788843,-0.09633434,-0.22654068,-0.02493319
Gene62,0.19073622,0.29462662,0.33124077,0.305501,0.08621749,0.12221399,0.14686725,0.16727836,0.09377342,0.0969628,0.15445766,0.14016896,0.1501185,0.18112227,0.071486264,0.23401475
Gene63,0.088816576,0.11729661,0.12446332,0.09539917,0.09534001,0.121771865,0.14364704,0.17117266,0.26312435,-0.17430776,-0.00430277,0.121599376,0.16118358,-0.03672026,0.17610687,-0.0807077
Gene64,-0.1041048,-0.16600448,-0.19589683,-0.19879349,0.09284302,0.12168294,0.15098722,0.17749344,-0.40625143,0.3021466,-0.24519445,0.07918997,-0.08640689,-0.10948995,-0.06989083,-0.12890266
Gene65,0.0643399,0.10558616,0.14496823,0.17927286,0.088793404,0.12034852,0.14100505,0.17593876,-0.2827825,0.3471224,-0.13425928,0.23984545,-0.030369103,0.17533733,0.09062606,0.0886468
Gene66,-0.132094,-0.1842272,-0.2392472,-0.3245079,0.08240798,0.11459165,0.14067084,0.1718952,-0.57579374,0.44369975,-0.40784347,0.22361627,-0.46092194,0.22167474,-0.3715956,0.0470877
Gene67,0.03759662,0.064166315,0.08751605,0.090730116,0.09226076,0.11568929,0.14643414,0.17026387,0.12093171,-0.08333509,0.09090944,-0.026743121,0.09628134,-0.008765295,0.14636539,-0.055635273
Gene68,0.1975203,0.30800492,0.3941008,0.45316455,0.08967661,0.11493603,0.1534556,0.17769447,0.37833616,-0.18081586,0.38165078,-0.07364586,0.5750389,-0.18093812,0.7429131,-0.28974858
Gene69,-0.113968305,-0.22221388,-0.27842748,-0.30426726,0.08757401,0.12960494,0.15715222,0.17050935,-0.14132471,0.027356409,-0.40944755,0.18723367,-0.4119348,0.13350731,-0.17135286,-0.1329144
Gene70,-0.006090434,-0.07857058,-0.16637263,-0.254831,0.08956383,0.12101082,0.1509267,0.1684417,0.3053657,-0.31145614,0.030980557,-0.10955114,-0.10527715,-0.061095476,-0.27653846,0.021707475
Gene71,0.16814853,0.24445772,0.2754133,0.23853791,0.09034269,0.113160454,0.13710256,0.1610566,0.47129682,-0.30314827,0.43052298,-0.18606526,0.44137195,-0.16595864,0.26696262,-0.02842471
Gene72,-0.0012716681,0.002326028,-0.0727182,-0.1447955,0.09743369,0.122743055,0.14462808,0.16929245,-0.141628,0.14035633,-0.014152646,0.016478674,-0.026175626,-0.046542577,-0.05407875,-0.09071676
Gene73,-0.17351775,-0.32807136,-0.4789444,-0.63139176,0.08560373,0.11932801,0.14511706,0.17582786,-0.37930068,0.20578294,-0.519632,0.19156063,-0.52457315,0.045628756,-0.6799932,0.04860145
Gene74,-0.01620321,-0.0298868,-0.13299474,-0.20351811,0.08691686,0.11925311,0.14328416,0.17211458,-0.21571617,0.19951296,-0.09143746,0.06155066,-0.31373656,0.18074182,-0.32915792,0.12563981
Gene75,-0.1571281,-0.23181209,-0.28912967,-0.27415565,0.08494923,0.125785,0.13955933,0.17200522,-0.47481406,0.31768596,-0.3552725,0.12346041,-0.52081746,0.23168778,-0.29741937,0.023263723
Gene76,0.112743475,0.21533936,0.3275878,0.42524987,0.093390234,0.120941885,0.14145464,0.17336787,-0.10428569,0.21702915,0.061421126,0.15391824,0.3918573,-0.06426948,0.43243507,-0.007185191
Gene77,-0.07895453,-0.17763384,-0.23673025,-0.2933575,0.08897381,0.12735674,0.155839,0.18676622,0.019660166,-0.0986147,-0.07469538,-0.10293846,-0.11006508,-0.12666517,-0.301343,0.0079855025
Gene78,-0.11495497,-0.27612478,-0.41514724,-0.4489043,0.09483178,0.12700146,0.14096127,0.15506579,-0.4736211,0.35866612,-0.8154336,0.53930885,-1.1076751,0.69252783,-1.0856363,0.636732
Gene79,-0.0766745,-0.16878442,-0.24931125,-0.2992069,0.0883441,0.12153147,0.15803753,0.18033504,-0.44223642,0.36556193,-0.4789605,0.31017607,-0.5406761,0.29136485,-0.5568399,0.25763297
Gene80,-0.11396906,-0.2477609,-0.39612266,-0.5388416,0.0826149,0.11744897,0.15337601,0.18344118,-0.41344425,0.2994752,-0.48307493,0.23531403,-0.79119503,0.39507237,-0.93741703,0.39857543
Gene81,0.0820647,0.0941647,0.093783066,0.069867395,0.08658808,0.11220393,0.13959198,0.1686081,0.17878126,-0.09671655,0.13622849,-0.042063788,0.30502945,-0.21124639,0.12993401,-0.060066618
Gene82,-0.02789011,-0.046669193,-0.06909128,-0.058488097,0.085817635,0.12022597,0.14767978,0.1824931,-0.053472746,0.025582636,-0.08904499,0.042375796,0.13693993,-0.2060312,0.13600905,-0.19449715
Gene83,-0.120632455,-0.2439845,-0.35961193,-0.4012196,0.08962282,0.12520708,0.15130524,0.17308784,-0.34326077,0.22262831,-0.66977084,0.42578632,-0.5629347,0.20332277,-0.49511832,0.09389871
Gene84,0.13403481,0.20845395,0.2682377,0.32057926,0.0819586,0.108440645,0.14006378,0.16763029,0.32481834,-0.19078353,0.31346107,-0.10500711,0.26466197,0.0035757422,0.3639857,-0.043406427
Gene85,-0.0135717895,-0.06057915,-0.11233104,-0.17339748,0.10347084,0.13674203,0.1589104,0.18541674,0.08026126,-0.09383305,0.013381384,-0.073960535,0.16330066,-0.2756317,0.06732347,-0.24072096
Gene86,-0.011091652,-0.04158517,-0.10165895,-0.1466952,0.08459429,0.11350393,0.14237708,0.15951131,-0.25479394,0.24370229,-0.07523194,0.03364677,0.0102443695,-0.11190332,-0.2658749,0.119179696
Gene87,-0.10694212,-0.17985825,-0.2703803,-0.34503013,0.08569964,0.11969695,0.13708146,0.16541415,-0.19053763,0.083595514,-0.11928345,-0.0605748,-0.23346859,-0.036911696,-0.31231952,-0.03271061
Gene88,-0.02579236,-0.09676791,-0.19977508,-0.26199487,0.08928983,0.123364486,0.15375808,0.17872271,0.3845984,-0.41039076,0.289729,-0.3864969,0.055472165,-0.25524724,-0.10010174,-0.16189313
Gene89,0.045928344,0.040309962,-0.036292337,-0.15695618,0.083376065,0.112839766,0.1526122,0.17749916,0.25076205,-0.2048337,0.23169783,-0.19138786,0.083816126,-0.12010846,-0.12770757,-0.02924861
Gene90,-0.06665543,-0.13334942,-0.18157114,-0.24912065,0.08691664,0.1194468,0.14817637,0.17462204,-0.30864817,0.24199274,-0.35540468,0.22205526,-0.21070886,0.029137716,-0.43210137,0.18298072
Gene91,-0.06645018,-0.13622636,-0.17287077,-0.1757965,0.07900974,0.109978005,0.1470438,0.17115372,-0.14573848,0.079288304,-0.29419035,0.15796399,-0.2166272,0.043756425,0.055387214,-0.23118371
Gene92,0.08665774,0.15490694,0.18986388,0.20773113,0.08429545,0.123532616,0.15827653,0.18408789,-0.11146214,0.19811988,-0.04295954,0.19786648,0.0051815137,0.18468237,0.07937131,0.12835982
Gene93,0.16426459,0.2623711,0.29299316,0.27978906,0.10030331,0.13246074,0.16101623,0.18798505,0.8264126,-0.662148,0.9403255,-0.67795444,0.9831216,-0.69012845,0.9023354,-0.6225463
Gene94,0.04757508,0.08400175,0.09131608,0.10455755,0.08014386,0.11216979,0.14154503,0.17217675,-0.007985984,0.055561062,0.22613679,-0.14213504,0.32872468,-0.23740861,0.48380604,-0.3792485
Gene95,0.10759183,0.16336147,0.18851444,0.16553403,0.08554511,0.11504786,0.14816032,0.17374791,0.2511237,-0.14353186,0.35449845,-0.19113697,0.32819456,-0.13968012,0.20189115,-0.03635712
Gene96,-0.007561922,-0.012360964,-0.044568416,-0.0672342,0.085626416,0.11629737,0.14577031,0.17713116,-0.058839682,0.05127776,-0.12032743,0.10796647,-0.018249623,-0.026318792,0.074664354,-0.14189856
Gene97,-0.15081027,-0.25713015,-0.34460336,-0.42666358,0.08378069,0.12048324,0.15069723,0.17837355,-0.33798432,0.18717405,-0.2957465,0.03861636,-0.44840354,0.10380018,-0.49085358,0.06419
Gene98,0.022956548,0.031140571,0.029129094,0.022856612,0.077713534,0.11519921,0.13941024,0.17443499,-0.27472594,0.2976825,-0.35876265,0.38990322,-0.23534684,0.26447594,-0.2550285,0.2778851
Gene99,-0.012169764,-0.047217235,-0.1068639,-0.15008913,0.08275416,0.11097392,0.14708044,0.17095973,0.069198236,-0.081368,0.1438097,-0.19102694,0.07217548,-0.17903939,0.0037727654,-0.1538619
Gene100,-0.04443487,-0.08949398,-0.18662019,-0.28419116,0.0859269,0.11206086,0.14341208,0.17183016,-0.28304794,0.23861307,-0.23940264,0.14990866,-0.1975496,0.010929406,-0.6394459,0.35525474
Gene101,-0.08059348,-0.12208926,-0.12734425,-0.16258234,0.08608223,0.11494726,0.14577104,0.18131427,-0.028314866,-0.052278616,-0.03268861,-0.08940065,-0.07469905,-0.0526452,-0.076748446,-0.08583389
Gene102,0.11651002,0.1453487,0.1695115,0.21984187,0.08638952,0.12289874,0.15146066,0.16685054,0.40052754,-0.2840175,0.1078141,0.037534595,0.027379036,0.14213246,0.24716678,-0.027324915
Gene103,0.07902482,0.1515018,0.2453842,0.29312015,0.0914294,0.12241401,0.1487294,0.18425183,0.17749508,-0.098470256,0.30985677,-0.15835497,0.565642,-0.32025778,0.62114733,-0.3280272
Gene104,0.0032689653,-0.016268933,-0.0865297,-0.17240345,0.08547263,0.110785924,0.14175431,0.17377488,0.0988106,-0.09554163,0.0032997131,-0.019568646,0.040385734,-0.12691544,-0.16073732,-0.011666134
Gene105,0.08605,0.08222007,0.09815266,0.098729484,0.083519354,0.11902716,0.14575069,0.17111759,0.055360764,0.030689232,-0.18673642,0.26895648,-0.11420028,0.21235293,-0.110129386,0.20885888
Gene106,0.10691294,0.17167044,0.20432861,0.21585153,0.08460334,0.12285224,0.16273974,0.19017719,0.1771022,-0.07018925,0.3839803,-0.21230987,0.41268036,-0.20835175,0.27778327,-0.061931744
Gene107,0.037355687,0.014409473,-0.034576222,-0.07360356,0.08468354,0.115602545,0.14295572,0.17584285,-0.27650335,0.31385905,-0.3024036,0.31681308,-0.368855,0.33427876,-0.4920001,0.41839653
Gene108,0.12953208,0.25861815,0.35013378,0.42349315,0.09351443,0.13288677,0.16776355,0.18023224,-0.16576676,0.29529884,0.20788674,0.050731406,0.21049725,0.13963653,0.456195,-0.03270185
Gene109,0.09924276,0.14227234,0.12409412,0.13321553,0.084116235,0.12120853,0.14958605,0.1720197,0.25339812,-0.15415536,0.39681345,-0.2545411,0.33027717,-0.20618305,0.48722172,-0.35400617
Gene110,0.086914346,0.16194971,0.21154651,0.24185097,0.08764747,0.11599848,0.14596564,0.17498045,0.13846688,-0.051552534,0.016207024,0.14574268,-0.008487031,0.22003354,0.08235349,0.15949748
Gene111,0.14375982,0.20564854,0.19022295,0.2166429,0.09390465,0.123504624,0.14848085,0.17313565,0.292613,-0.14885318,0.33291745,-0.12726891,0.04784046,0.14238249,0.28727627,-0.07063337
Gene112,0.25722927,0.44488707,0.58499753,0.6790948,0.08540068,0.11880735,0.1389689,0.16349566,0.7895729,-0.5323436,0.8987997,-0.45391265,0.87160814,-0.2866106,0.8294534,-0.15035862
Gene113,0.21952866,0.3486954,0.44556513,0.49713722,0.07947901,0.110075295,0.12777236,0.16443138,0.5408827,-0.32135403,0.65639174,-0.30769634,0.4707126,-0.025147468,0.54757166,-0.05043444
Gene114,0.1623522,0.2442821,0.3144852,0.37277615,0.101429574,0.13505709,0.17452708,0.1989213,0.27721432,-0.114862114,0.37255108,-0.12826899,0.42378056,-0.10929537,0.4551431,-0.08236694
Gene115,-0.063140206,-0.13357319,-0.21172202,-0.2037869,0.07954737,0.110047765,0.14856976,0.18849583,-0.38093904,0.31779882,-0.39168018,0.258107,-0.5252885,0.3135665,-0.22500406,0.021217167
Gene116,0.05402964,0.054855052,0.015264893,-0.08432801,0.08902996,0.12193876,0.1454373,0.17610218,-0.025433356,0.079463,0.17462952,-0.119774476,0.07467014,-0.059405252,-0.26473367,0.18040566
Gene117,0.04661422,0.09157354,0.102154456,0.08188218,0.08891682,0.12810078,0.15159489,0.17725243,-0.10271822,0.14933243,0.046628788,0.04494475,0.13811366,-0.035959207,-0.19226901,0.2741512
Gene118,0.07138235,0.11809229,0.11706658,0.15009719,0.08314218,0.11480276,0.13814612,0.15747131,0.09371111,-0.022328757,0.19231075,-0.07421846,0.044400834,0.07266574,0.1341821,0.015915096
Gene119,0.09734586,0.14995159,0.120750114,0.14855644,0.08676641,0.122856386,0.15374407,0.17082353,0.21123493,-0.11388907,0.11975495,0.030196644,-0.02738884,0.14813896,0.169453,-0.020896554
Gene120,-0.042118177,-0.110199444,-0.19878748,-0.25724462,0.0896533,0.12358234,0.14854752,0.17367162,0.02003936,-0.062157534,-0.10881082,-0.0013886243,-0.30232266,0.103535175,-0.28784984,0.030605227
