gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
Gene115,-0.07182551,-0.14846098,-0.23138939,-0.21255556,0.080073185,0.1064459,0.13981752,0.1710878
Gene116,0.032090623,0.017670125,-0.018335244,-0.106157586,0.088592544,0.11458649,0.14326666,0.17044194
Gene117,0.048309423,0.099590875,0.14382839,0.1400589,0.091048904,0.112749316,0.14415585,0.17922318
Gene118,0.038062222,0.07567136,0.08037838,0.09861494,0.09665838,0.124903336,0.1512633,0.17392163
Gene119,0.09913684,0.13479024,0.103764035,0.09286878,0.09109705,0.12116141,0.15296957,0.1857238
Gene12,-0.0044323886,-0.062189497,-0.124044314,-0.14937869,0.08517432,0.1073845,0.13555342,0.16121742
Gene120,-0.010995507,-0.05659686,-0.13314575,-0.22583683,0.08771849,0.13162842,0.16625555,0.18662485
Gene13,0.18563402,0.32660973,0.4209076,0.45610452,0.08974894,0.1266181,0.15707824,0.17387865
Gene14,0.027896605,0.057159647,0.08152162,0.09581215,0.08852361,0.1128231,0.13877925,0.17172843
Gene15,0.027086997,0.04698865,0.034271423,0.050864283,0.08398244,0.112341315,0.13822356,0.16071275
Gene16,-0.015063652,-0.024658559,-0.041432455,-0.054726835,0.08696243,0.11313679,0.13951294,0.16511577
Gene17,-0.027655527,-0.08123868,-0.16027409,-0.20596117,0.07586914,0.112054236,0.13494712,0.16169585
Gene18,0.14751936,0.25990084,0.32368964,0.37988687,0.08521907,0.122219704,0.15080252,0.18575925
Gene19,-0.013095891,-0.0092535615,0.013505923,0.088804744,0.08317762,0.115941435,0.14093427,0.16849464
Gene2,0.08200271,0.13047609,0.12659691,0.046311647,0.08716417,0.12658373,0.14190182,0.16652092
Gene20,0.13380116,0.22541805,0.29414597,0.33531845,0.088751815,0.123335354,0.14471759,0.16938321
Gene21,-0.021452442,-0.068593815,-0.13771921,-0.2046995,0.09149728,0.11487108,0.1390548,0.16528244
Gene22,-0.041041203,-0.10109165,-0.14239155,-0.20824617,0.08383209,0.11288269,0.13241968,0.17786485
Gene23,0.07109724,0.03866878,-0.010523651,-0.048815645,0.08081724,0.106682606,0.13210815,0.16018082
Gene24,-0.0695754,-0.15430969,-0.2568231,-0.33189037,0.085070364,0.11604285,0.14588767,0.1622106
Gene25,-0.08290411,-0.18557753,-0.32813552,-0.4200422,0.0920932,0.11461639,0.14106517,0.16784444
Gene26,-0.03547809,-0.09261499,-0.1709619,-0.25067014,0.08740252,0.11450719,0.14355943,0.17530955
Gene27,0.13743234,0.21908174,0.29824713,0.3839411,0.08613329,0.12250588,0.15383448,0.16835143
Gene28,0.12167869,0.17801341,0.19071457,0.23902339,0.08808942,0.11834724,0.14363922,0.1695843
Gene29,0.036185957,0.07041715,0.13605286,0.23013183,0.09232541,0.12005526,0.14032477,0.17488344
Gene3,-0.07352038,-0.09579675,-0.11438121,-0.10995455,0.08568804,0.11642597,0.149795,0.16568387
Gene30,0.07179756,0.07412699,0.041308034,-0.017445993,0.08131309,0.10985622,0.12935619,0.1548826
Gene31,0.039676484,0.03428215,-0.005632552,-0.08654881,0.086910225,0.113101624,0.14325884,0.17116828
Gene32,-0.023107415,-0.04806384,-0.07544937,-0.046600617,0.08581825,0.12453008,0.14063829,0.16817059
Gene33,0.20754138,0.3732999,0.49266458,0.586749,0.08433044,0.11873008,0.135789,0.16406433
Gene34,0.032835215,0.026876844,0.033219706,0.049765736,0.08628825,0.116822295,0.14633562,0.16825628
Gene35,-0.0063996245,-0.10559375,-0.2878972,-0.46871388,0.08527789,0.121858105,0.1490909,0.17592242
Gene36,0.08482351,0.123184636,0.12903464,0.13563491,0.0876243,0.118144765,0.13899264,0.16726217
Gene37,0.09982292,0.13845633,0.0694864,-0.0068236385,0.07661963,0.09711508,0.11731687,0.15179268
Gene38,0.02161213,-0.020593815,-0.094634965,-0.1777524,0.08215025,0.12476368,0.15174699,0.16796091
Gene39,-0.16946812,-0.31689185,-0.4536021,-0.53318906,0.085241616,0.11357144,0.15139939,0.18812189
Gene4,0.048637204,0.025593393,-0.027757613,-0.03318271,0.083987646,0.11514725,0.13309018,0.154611
Gene40,0.08108942,0.067591034,0.058575097,0.08680102,0.08635492,0.11192931,0.13861103,0.1715546
Gene41,0.15746391,0.30938038,0.3834831,0.43545488,0.08469657,0.11804336,0.14447662,0.17680545
Gene42,0.005163855,-0.055339623,-0.18979377,-0.2224775,0.093571484,0.118103325,0.1496499,0.17229709
Gene43,0.018014485,0.050644275,0.12029041,0.1695244,0.08483607,0.11790597,0.14538543,0.17852297
Gene44,-0.012444271,-0.042299572,-0.026182236,0.009096959,0.085087575,0.106275894,0.12703477,0.15521543
Gene45,-0.05053386,-0.1171572,-0.17439677,-0.26438594,0.09340037,0.11304056,0.12494729,0.15867184
Gene46,0.073895626,0.09254899,0.024202054,-0.03681736,0.08080882,0.117592685,0.14185975,0.15898483
Gene47,0.086381696,0.17418778,0.27531564,0.34721807,0.089864254,0.1143917,0.13663182,0.16432346
Gene48,0.053326193,0.04141128,0.040828906,0.01698425,0.08587523,0.11238301,0.13790093,0.16410592
Gene49,0.10440036,0.1674141,0.22655523,0.2254817,0.088310964,0.119574636,0.14030589,0.17316458
Gene5,-0.10645591,-0.17478931,-0.1845202,-0.23002584,0.079435736,0.11030829,0.1359041,0.16288024
Gene50,-0.19255535,-0.3100865,-0.40815723,-0.44814357,0.09157807,0.11484384,0.14177036,0.16481416
Gene51,0.11633441,0.1614819,0.18939766,0.22271734,0.084172554,0.1066796,0.13999331,0.16196601
Gene52,0.08138994,0.14565536,0.1518256,0.08911335,0.088896856,0.13190448,0.15589914,0.16716515
Gene53,0.002644788,-0.023029907,-0.10204333,-0.22315276,0.08496598,0.1168055,0.1457507,0.16327019
Gene54,-0.07208805,-0.092029974,-0.0969974,-0.08240223,0.08551899,0.10828568,0.13001847,0.1518617
Gene55,0.011781137,0.049876355,-0.03217169,-0.14641933,0.09338707,0.11924274,0.13985595,0.16438915
Gene56,0.057525802,0.10993717,0.11471618,0.10919905,0.08143421,0.11486064,0.14179379,0.17356497
Gene57,0.018601231,0.0051043034,-0.061274815,-0.04919686,0.08398666,0.11516867,0.13682629,0.1636371
Gene58,-0.15409346,-0.2525671,-0.32438484,-0.33943418,0.0839893,0.123473756,0.13641252,0.17006591
Gene59,0.14478128,0.23379304,0.32769927,0.36333215,0.08634176,0.114238344,0.13318042,0.16427074
Gene6,-0.17191501,-0.33241543,-0.5046837,-0.6120974,0.0819029,0.12005715,0.14849292,0.18066011
Gene60,-0.02531112,-0.04541899,-0.05080948,-0.08882559,0.08334546,0.111852795,0.12684429,0.14151788
Gene61,-0.0832718,-0.17626792,-0.23080522,-0.25481266,0.09014026,0.12565906,0.1606428,0.18398467
Gene62,0.16646965,0.25770342,0.29266587,0.2713985,0.08306314,0.11572246,0.15254754,0.18549845
Gene63,0.093932554,0.109788485,0.12808883,0.12057733,0.08957023,0.11610918,0.14436297,0.1725612
Gene64,-0.108200915,-0.14627457,-0.19284464,-0.2062846,0.08626711,0.12180371,0.14815824,0.18682879
Gene65,0.059954572,0.09871254,0.1439855,0.18080364,0.08822225,0.1286423,0.14811258,0.17269695
Gene66,-0.15306062,-0.2370026,-0.28391355,-0.31834593,0.08298599,0.114999115,0.14619191,0.17213516
Gene67,0.06164569,0.08398631,0.07957313,0.07814628,0.10185235,0.13503788,0.15621059,0.18148363
Gene68,0.19146734,0.3027667,0.37388703,0.44224358,0.08896814,0.12021685,0.14540108,0.16609265
Gene69,-0.11045389,-0.21281536,-0.26297683,-0.28204533,0.08799557,0.124409646,0.14167029,0.17081928
Gene7,-0.0664022,-0.12178619,-0.19484153,-0.27167988,0.08349147,0.11786412,0.14465095,0.16957809
Gene70,-0.014903432,-0.09085767,-0.20066506,-0.30190212,0.08183762,0.11230888,0.15233293,0.17974086
Gene71,0.17878102,0.25887403,0.27699602,0.2282512,0.0860981,0.12082104,0.14822409,0.17576988
Gene72,-0.00824499,-0.0145580545,-0.069329694,-0.14038455,0.082522266,0.114031285,0.14939705,0.17575899
Gene73,-0.1608292,-0.30058992,-0.423214,-0.55659145,0.08230383,0.12625961,0.15782554,0.18289806
Gene74,-0.04115851,-0.08377102,-0.18959023,-0.23764671,0.09680919,0.12925772,0.1585692,0.18604128
Gene75,-0.14650331,-0.22788437,-0.28443286,-0.2880521,0.08417444,0.11715056,0.14353198,0.17619903
Gene76,0.11670641,0.24065489,0.3573286,0.44384822,0.08725084,0.116710514,0.15184563,0.17808218
Gene77,-0.10530891,-0.19214411,-0.26679504,-0.35346752,0.09160685,0.121085614,0.1496293,0.1804851
Gene78,-0.12086569,-0.28181773,-0.4134071,-0.464782,0.08309994,0.123286486,0.15331942,0.18276285
Gene79,-0.086463206,-0.16754846,-0.23968838,-0.3032686,0.07933227,0.120262824,0.14338486,0.17784737
Gene8,-0.004959351,-0.011156509,-0.004594846,0.029040713,0.07658646,0.107448526,0.14196539,0.16593643
Gene80,-0.10319302,-0.22259039,-0.3571454,-0.46767056,0.089249186,0.11781159,0.14640772,0.17696549
Gene81,0.062464394,0.07238851,0.061444536,0.02328406,0.0861355,0.116486356,0.14545755,0.18161792
Gene82,-0.016274387,-0.014306626,-0.014239791,0.0010804314,0.087031074,0.12299454,0.15491597,0.16888376
Gene83,-0.12793347,-0.246292,-0.32181156,-0.37241164,0.092473246,0.12913631,0.15293117,0.1920556
Gene84,0.1236248,0.21155399,0.25244102,0.27326,0.08876359,0.1143257,0.14265636,0.18106109
Gene85,-0.015308543,-0.06723569,-0.09740585,-0.12908015,0.08386915,0.12065539,0.14821477,0.17580442
Gene86,-0.019395439,-0.058782987,-0.12217351,-0.15920995,0.08449648,0.12336641,0.15885231,0.18761562
Gene87,-0.11870223,-0.21692209,-0.34468544,-0.42012206,0.08417107,0.113582574,0.14075422,0.17453234
Gene88,-0.036148403,-0.118524686,-0.220845,-0.29051796,0.08976823,0.13247807,0.16790083,0.18071352
Gene89,0.054355845,0.051671885,-0.008456671,-0.1453721,0.081320934,0.120489776,0.14446166,0.1696406
Gene9,-0.21068601,-0.29985696,-0.36390552,-0.43297374,0.090423144,0.115689866,0.14234965,0.1700963
Gene90,-0.09518889,-0.18369454,-0.28332785,-0.3743484,0.085854016,0.11466766,0.14138769,0.16840106
Gene91,-0.073884845,-0.13455346,-0.19142593,-0.2070635,0.08082521,0.117036276,0.13653356,0.16641282
Gene92,0.089334145,0.13049652,0.17855047,0.19160241,0.074944064,0.10990257,0.1265161,0.16316725
Gene93,0.17358108,0.28682578,0.32585785,0.32744372,0.100537226,0.13484682,0.17337057,0.20139898
Gene94,0.02499394,0.042841192,0.061356362,0.07821934,0.07489378,0.10622031,0.14842543,0.18890986
Gene95,0.105084494,0.15684514,0.18067335,0.17386068,0.090889744,0.12553269,0.14643964,0.17688692
Gene96,-0.010377786,-0.02784219,-0.07598382,-0.12260411,0.08279871,0.124803275,0.14544049,0.17415836
Gene97,-0.1505736,-0.27481645,-0.35741815,-0.4086746,0.08393406,0.11829204,0.14303619,0.16238669
Gene98,0.015371379,0.017829675,-0.009542483,0.0060263346,0.08959699,0.12572794,0.15691465,0.17541991
Gene99,-0.02214236,-0.06629705,-0.13269281,-0.20178197,0.085841626,0.12513125,0.14971165,0.17460552
